Nama Obat,Harga Jual 1,Jenis Obat,Deskripsi
ATMACID,"5,000.00",BEBAS,"Obat yang digunakan untuk mengobati gejala flu, seperti demam, sakit kepala, hidung tersumbat, dan juga bersin-bersin disertai batuk"
ATMACID BOX,"37,500.00",BEBAS,"Obat yang digunakan untuk mengobati gejala flu, seperti demam, sakit kepala, hidung tersumbat, dan juga bersin-bersin disertai batuk (10 strip @ 10 kaplet)"
ASTAPLUS BOX,"310,000.00",BEBAS,"Obat sakit maag yang mengandung kombinasi antasida dan antikembung. Obat ini bermanfaat untuk mengurangi gejala akibat kelebihan asam lambung, seperti nyeri ulu hati, mual, begah, perut kembung, dan rasa panas di dada"
ASTAPLUS,"12,000.00",BEBAS,"Obat sakit maag yang mengandung kombinasi antasida dan antikembung. Obat ini bermanfaat untuk mengurangi gejala akibat kelebihan asam lambung, seperti nyeri ulu hati, mual, begah, perut kembung, dan rasa panas di dada (10 catch cover @ 1 strip @ 10 tablet kunyah)"
ANTIZA ,"17,500.00",BEBAS,"Suplemen kesehatan yang mengandung Astaxanthin dan Selennium. Astaxanthin merupakan antioksidan yang memiliki berbagai manfaat untuk tubuh, antara lain menjaga kesehatan kulit dan meningkatkan daya tahan tubuh (5 strip @ 6 kaplet salut selaput)"
ANTIZA BOX,"145,000.00",BEBAS,"Suplemen kesehatan yang mengandung Astaxanthin dan Selennium. Astaxanthin merupakan antioksidan yang memiliki berbagai manfaat untuk tubuh, antara lain menjaga kesehatan kulit dan meningkatkan daya tahan tubuh"
ANTIZA SYR 60ML,"25,000.00",BEBAS,"Obat untuk meringankan gejala flu, seperti demam, pilek, hidung tersumbat, sakit kepala, dan bersin-bersin yang disertai batuk kering"
ANADIUM,"10,000.00",BEBAS,"Obat untuk meringankan gejala flu, seperti demam, pilek, hidung tersumbat, sakit kepala, dan bersin-bersin yang disertai batuk kering (10 amplop @ 1 strip @ q0 kaplet salut selaput)"
ANADIUM BOX,"300,000.00",BEBAS,"Obat untuk mengatasi gejala flu seperti pilek, hidung tersumbat, demam, sakit kepala, bersin disertai oleh batuk"
AILIN TM,"11,500.00",BEBAS,"Obat tradisional yang mengandung Diosmin dan Hesperidin. Anadium digunakan untuk meringankan gejala wasir, seperti nyeri dan mengurangi pembengkakan pembuluh darah di usus besar serta dibagian dubur (anus). Anadium ini termasuk obat yang termasuk kedalam kelas terapi antihemoroid (wasir)"
AILIN TM BOX,"170,000.00",BEBAS,"Obat tradisional yang mengandung Diosmin dan Hesperidin. Anadium digunakan untuk meringankan gejala wasir, seperti nyeri dan mengurangi pembengkakan pembuluh darah di usus besar serta dibagian dubur (anus). Anadium ini termasuk obat yang termasuk kedalam kelas terapi antihemoroid (wasir). (3 strip @ 10 kaplet)"
ALPARA,"8,000.00",BEBAS,"Obat tetes mata yang mengandung zat aktif Tetrahidrozolin HCI. Obat ini digunakan untuk mengatasi mata merah karena iritasi ringan yang disebabkan oleh debu, asap, cuaca dingin, pemakaian lensa kontak, terlalu lama bekerja dengan komputer atau iritasi setelah berenang"
ALPARA BOX,"92,500.00",BEBAS,"Obat tetes mata yang mengandung zat aktif Tetrahidrozolin HCI. Obat ini digunakan untuk mengatasi mata merah karena iritasi ringan yang disebabkan oleh debu, asap, cuaca dingin, pemakaian lensa kontak, terlalu lama bekerja dengan komputer atau iritasi setelah berenang"
ACEMAXS 350ML,"175,000.00",BEBAS,"Obat batuk dan pereda flu dengan kandungan Paracetamol, Phenylpropanolamine HCI, Klorfeniramin Maleat, dan Dextromethorphan HBr. Dextromethorphan HBr sebagai antitusif yang bisa menekan refleks batuk. Paracetamol digunakan sebagai pereda demam dan sakit kepala."
ANALSIK,"4,000.00",RESEP DOKTER,"Obat batuk dan pereda flu dengan kandungan Paracetamol, Phenylpropanolamine HCI, Klorfeniramin Maleat, dan Dextromethorphan HBr. Dextromethorphan HBr sebagai antitusif yang bisa menekan refleks batuk. Paracetamol digunakan sebagai pereda demam dan sakit kepala. (15 catch cover @ 1 strip @ 10 kaplet)"
ANALSIK BOX,"225,000.00",RESEP DOKTER,"Produk herbal perpaduan kulit manggis dan daun sirsak, bermandaat untuk menjaga kesehatan, merupakan antioksidan alami yang memiliki banyak manfaat bagi kesehatan"
ARKINE,"20,000.00",RESEP DOKTER,Obat yang mengandung Metamizole dan Diazepam. Obat yang digunakan untuk meringankan rasa nyeri sedang hingga berat
ARKINE BOX,"130,000.00",BEBAS,Obat yang mengandung Metamizole dan Diazepam. Obat yang digunakan untuk meringankan rasa nyeri sedang hingga berat 
ALEGI,"30,000.00",BEBAS,"Obat yang digunakan untuk mengatasi reaksi alergi pada saluran pernafasan, kulit, dan mata"
ALEGI BOX,"215,000.00",BEBAS,"Obat yang digunakan untuk mengatasi reaksi alergi pada saluran pernafasan, kulit, dan mata"
ALERHIS,"13,000.00",BEBAS,"Obat yang digunakan untuk mengatasi gejala rinitis alergik seperti bersin-bersin, pilek dan rasa gatal pada hidung"
ALERHIS BOX,"120,000.00",BEBAS,"Obat yang digunakan untuk mengatasi gejala rinitis alergik seperti bersin-bersin, pilek dan rasa gatal pada hidung"
AMH KAMBING ETAWA JAHE,"25,000.00",BEBAS,"Susu kambing murni yang mengandung vitamin dan mineral, serta jahe merah"
AMH KAMBING ETAWA ORI,"25,000.00",BEBAS,"Susu kambing murni yang mengandung vitamin dan mineral, serta jahe merah"
ACTIFED ANTITUSIF 60ML,"62,500.00",BEBAS,"ACTIFED PLUS COUGH SUPPRESANT merupakan obat dengan kandungan Dextromethorphan HBr, Pseudoephedrine HCl, dan Triprolidine HCl. Obat ini sering digunakan untuk meringankan gejala flu serta batuk kering dan gatal. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER."
ACTIFED EXPECT 60ML,"60,000.00",BEBAS,"ACTIFED PLUS EXPECTORANT merupakan obat dengan kandungan Pseudoephedrine HCl, Guaiphenesin, Triprolidine HCl. Obat ini sering digunakan untuk meringankan gejala flu serta batuk berdahak. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER."
ACTIFED FLU 60ML,"60,000.00",BEBAS,ACTIFED FLU merupakan obat yang digunakan untuk meredakan pilek dan batuk berdahak
ALKOHOL 70% 1L PIM,"35,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ALKOHOL 1L PSA,"35,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ASAM FOLAT 1MG,"2,000.00",BEBAS,Salah satu jenis vitamin B kompleks yang perlu dicukupi dengan baik oleh ibu hamil
ASAM FOLAT 1MG BOX,"15,000.00",BEBAS,Salah satu jenis vitamin B kompleks yang perlu dicukupi dengan baik oleh ibu hamil
ARDIUM,"12,000.00",BEBAS,Obat yang digunakan untuk membantu meringankan gangguan perederan darah di kaki/varises dan membantu meringankan wasir kronik dan akut
ARDIUM BOX ISI 60,"600,000.00",BEBAS,Obat yang digunakan untuk membantu meringankan gangguan perederan darah di kaki/varises dan membantu meringankan wasir kronik dan akut
ALLOPURINOL 300mg HEXA,"6,500.00",RESEP DOKTER,Obat yang digunakan untuk mengobati kelebihan asam urat dalam darah dan komplikasinya
ALLOPURINOL 300MG HEXA BOX,"47,500.00",RESEP DOKTER,Obat yang digunakan untuk mengobati kelebihan asam urat dalam darah dan komplikasinya
ALLOPURINOL 100 ETA,"3,500.00",RESEP DOKTER,Obat yang digunakan untuk mengobati kelebihan asam urat dalam darah dan komplikasinya
ALLOPURINOL 100 ETA BOX,"25,000.00",RESEP DOKTER,Obat yang digunakan untuk mengobati kelebihan asam urat dalam darah dan komplikasinya
ASIMOR,"75,000.00",BEBAS,"Obat herbal yang mengandung ekstrak daun katuk, daun torbangun, ekstrak ikan gabus. Herbal ini digunakan untuk membantu melancarkan produksi ASI"
ALVITA,"6,000.00",RESEP DOKTER,Obat analgesik dan antipiretik yang mengandung metamizole sodium dan vitamin B kompleks. Digunakan untuk menurunkan demam dan meringankan nyeri
ALVITA BOX,"50,000.00",RESEP DOKTER,Obat analgesik dan antipiretik yang mengandung metamizole sodium dan vitamin B kompleks. Digunakan untuk menurunkan demam dan meringankan nyeri
AZITHROMYCIN 500MG KF,"4,000.00",RESEP DOKTER,"Antibiotik yang digunakan untuk pengobatan sejumlah infeksi seperti infeksi telinga tengah, radang tenggorokan, radang paru-paru, diare pelancong, dan infeksi usus tertentu"
AZITHROMYCIN 500MG KF BOX,"60,000.00",RESEP DOKTER,"Antibiotik yang digunakan untuk pengobatan sejumlah infeksi seperti infeksi telinga tengah, radang tenggorokan, radang paru-paru, diare pelancong, dan infeksi usus tertentu"
AM PERFECT 500ML,"5,000.00",BEBAS,Obat yang digunakan untuk mengatasi gejala depresi
AM PERFECT 1L,"9,000.00",BEBAS,Obat yang digunakan untuk mengatasi gejala depresi
AM RON88 600ML,"2,500.00",BEBAS,Air mineral
AM RON88 380ML,"2,000.00",BEBAS,Air mineral
ALPENTIN 300MG,"8,000.00",RESEP DOKTER,Meredakan kejang pada penderita epilepsi
ALPENTIN 300MG BOX,"350,000.00",RESEP DOKTER,Meredakan kejang pada penderita epilepsi
ANTRAIN,"11,000.00",RESEP DOKTER,"Obat yang digunakan untuk meringankan rasa sakit, terutama nyeri kolik dan sakit setelah operasi"
ANTRAIN ISI 5,"35,000.00",RESEP DOKTER,"obat yang digunakan untuk meringankan rasa sakit, terutboa nyeri kolik dan sakit setelah operasi"
ASTHIN FORCE 6,"12,500.00",BEBAS,Suplemen antioksidan untuk membantu menangkal radikal bebas
ASTHIN FORCE 6 BOX,"200,000.00",BEBAS,Suplemen antioksidan untuk membantu menangkal radikal bebas
ADES 600,"3,500.00",BEBAS,Air mineral
ALMACON,"3,500.00",BEBAS,"Obat yang digunakan untuk mengatasi perut kembung, nyeri lambung, epigastrium, antasida pada gastritis, hiatus hernia dan peptik esofagitis, ulkus duodenum dan ulkus lambung"
ALMACON BOX,"27,500.00",BEBAS,"Obat yang digunakan untuk mengatasi perut kembung, nyeri lambung, epigastrium, antasida pada gastritis, hiatus hernia dan peptik esofagitis, ulkus duodenum dan ulkus lambung"
ASTHERIN,"3,500.00",RESEP DOKTER,"Obat yang digunakan untuk meringankan gejala mengi, batuk, dan sesak nafas akibat asma atau penyakit paru obstruktif kronis, termasuk emfisema atau bronkitis kronis"
ASTHERIN BOX,"27,500.00",RESEP DOKTER,"Obat yang digunakan untuk meringankan gejala mengi, batuk, dan sesak nafas akibat asma atau penyakit paru obstruktif kronis, termasuk emfisema atau bronkitis kronis"
AMOXSAN SYR FORTE,"42,500.00",RESEP DOKTER,"Obat yang digunakan untuk mengatasi berbagai penyakit infeksi, beberapa diantara nya yaitu infeksi saluran pernafasan, infeksi saluran kencing, infeksi telinga, hingga infeksi kelamin"
ALPARA SYR,"12,500.00",BEBAS,"Obat Alpara mengandung paracetamol, phenylpropanolamine, chlorpheniramine maleate, dan dextromethorphan untuk meringankan gejala flu"
ALPARA SYR Q,"570,000.00",BEBAS,"Obat Alpara mengandung paracetamol, phenylpropanolamine, chlorpheniramine maleate, dan dextromethorphan untuk meringankan gejala flu"
ALLERON POT,"12,500.00",BEBAS,"Obat Alpara mengandung paracetamol, phenylpropanolamine, chlorpheniramine maleate, dan dextromethorphan untuk meringankan gejala flu"
ALLERON TAB,150.00,BEBAS,"Obat Alpara mengandung paracetamol, phenylpropanolamine, chlorpheniramine maleate, dan dextromethorphan untuk meringankan gejala flu"
AMOXICILLIN SYR MERSI,"6,000.00",RESEP DOKTER,"Obat yang digunakan untuk mengobati infeksi telinga tengah, radang tenggorokan, infeksi saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak"
AMOXICILLIN SYR MERSI Q,"645,000.00",RESEP DOKTER,"Obat yang digunakan untuk mengobati infeksi telinga tengah, radang tenggorokan, infeksi saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak"
ARBUPON SYR 60ML,"7,000.00",NON KONSINYASI,"Obat yang digunakan untuk mengurangi demam dan mengobati nyeri atau inflamasi yang disebabkan oleh berbagai kondisi seperti sakit kepala, sakit gigi, sakit punggung, arthritis (peradangan pada sendi), keram saat haid, atau luka minor."
ARBUPON SYR 60ML Q,"245,000.00",NON KONSINYASI,"Obat yang digunakan untuk mengurangi demam dan mengobati nyeri atau inflamasi yang disebabkan oleh berbagai kondisi seperti sakit kepala, sakit gigi, sakit punggung, arthritis (peradangan pada sendi), keram saat haid, atau luka minor."
ALPENTIN 100mg,"20,000.00",RESEP DOKTER,Obat yang digunakan untuk terapi epilepsi agar dapat mengurangi dan mencegah timbulnya kejang
ALPENTIN 100mg BOX,"75,000.00",RESEP DOKTER,Obat yang digunakan untuk terapi epilepsi agar dapat mengurangi dan mencegah timbulnya kejang
ALPENTIN 300MG,"30,000.00",RESEP DOKTER,Obat yang digunakan untuk terapi epilepsi agar dapat mengurangi dan mencegah timbulnya kejang
ALPENTIN 300MG BOX,"125,000.00",RESEP DOKTER,Obat yang digunakan untuk terapi epilepsi agar dapat mengurangi dan mencegah timbulnya kejang
ALLOPURINOL 100 LANDSON,"3,500.00",RESEP DOKTER,"Obat yang digunakan untuk mengobati kelebihan asam urat dalam darah dan komplikasinya, termasuk asam urat kronis."
ALLOPURINOL 100 LANDSON BOX,"25,000.00",RESEP DOKTER,"Obat yang digunakan untuk mengobati kelebihan asam urat dalam darah dan komplikasinya, termasuk asam urat kronis."
ACARBOSE 100MG,"3,500.00",RESEP DOKTER,"Obat yang digunakan untuk pasien Diabetes Melitus Tipe 2 jika kadar gula darah tidak cukup dikendalikan dengan diet, latihan fisik dan penurunan berat badan saja"
ACARBOSE 100MG BOX,"75,000.00",RESEP DOKTER,"Obat yang digunakan untuk pasien Diabetes Melitus Tipe 2 jika kadar gula darah tidak cukup dikendalikan dengan diet, latihan fisik dan penurunan berat badan saja"
ACARBOSE 50MG,"2,500.00",RESEP DOKTER,"Obat yang digunakan untuk pasien Diabetes Melitus Tipe 2 jika kadar gula darah tidak cukup dikendalikan dengan diet, latihan fisik dan penurunan berat badan saja"
ACARBOSE 50MG BOX,"50,000.00",RESEP DOKTER,"Obat yang digunakan untuk pasien Diabetes Melitus Tipe 2 jika kadar gula darah tidak cukup dikendalikan dengan diet, latihan fisik dan penurunan berat badan saja"
AQUA 1 5 LITER,"6,000.00",BEBAS,Air mineral
ACETYLSISTEINE 200MG INF,"12,500.00",RESEP DOKTER,Obat generik yang digunakan sebagai mukolitik (pengencer dahak) dan antidot pada pasien yang overdosis Paracetamol
ACETYLSISTEINE 200MG INF BOX,"50,000.00",RESEP DOKTER,Obat generik yang digunakan sebagai mukolitik (pengencer dahak) dan antidot pada pasien yang overdosis Paracetamol
ALLORIS 10mg,"62,500.00",RESEP DOKTER,"Obat yang digunakan untuk meredakan gejala alergi seperti hay fever, urtikaria"
ALLORIS 10mg BOX,"555,000.00",RESEP DOKTER,"Obat yang digunakan untuk meredakan gejala alergi seperti hay fever, urtikaria"
ACYCLOVIR CR PHAPROS,"6,000.00",RESEP DOKTER,Digunakan untuk pencegahan infeksi simpleks berulang yang disebabkan oleh virus seperti Varisela Zoster (Penyebab Herpes Zoster atau cacar api) dan Herpes Simpleks (penyebab Herpes Genital dan Cold sore atau luka melepuh disekitar bibir)
ACYCLOVIR CR PHAPROS BOX,"95,000.00",RESEP DOKTER,Digunakan untuk pencegahan infeksi simpleks berulang yang disebabkan oleh virus seperti Varisela Zoster (Penyebab Herpes Zoster atau cacar api) dan Herpes Simpleks (penyebab Herpes Genital dan Cold sore atau luka melepuh disekitar bibir)
ALLERZEN SYR,"7,500.00",RESEP DOKTER,"Meredakan gejala atau keluhan akiibat reaksi alergi, seperti gatal pada kulit, tenggorokan, hidung, bersin-bersin, atau biduran"
ALLERZEN SYR Q,"260,000.00",RESEP DOKTER,"Meredakan gejala atau keluhan akiibat reaksi alergi, seperti gatal pada kulit, tenggorokan, hidung, bersin-bersin, atau biduran"
AVESCO 40Mg,"3,500.00",RESEP DOKTER,"Obat yang digunakan sebagai tambahan diet untuk menurunkan peningkatan kolestrol total, kolestrol LDL, apo-B & trigliserida pada pasien dengan Hiperkolesterolemia Primer, Hiperlipidemia kombinasi (campuran) & Hiperkolesterolemia Familial Heterzigot & Homozigot bila respons terhadap diet"
AVESCO 40Mg BOX,"80,000.00",RESEP DOKTER,"Obat yang digunakan sebagai tambahan diet untuk menurunkan peningkatan kolestrol total, kolestrol LDL, apo-B & trigliserida pada pasien dengan Hiperkolesterolemia Primer, Hiperlipidemia kombinasi (campuran) & Hiperkolesterolemia Familial Heterzigot & Homozigot bila respons terhadap diet"
ALKOHOL 70% 100ML MEDIKA,"6,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ALKOHOL 70% 1LT MEDIKA,"30,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ALKOHOL 300ML MEDIKA,"12,500.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
AMOXSAN INJ,"30,000.00",RESEP DOKTER,Obat dengan kandungan zat aktif Amoxicillin yang sering digunakan untuk mengatasi infeksi bakteri. Obat ini bekerja dengan cara mencegah pertumbuhan bakteri.
AMOXSAN INJ BOX,"275,000.00",RESEP DOKTER,Obat dengan kandungan zat aktif Amoxicillin yang sering digunakan untuk mengatasi infeksi bakteri. Obat ini bekerja dengan cara mencegah pertumbuhan bakteri.
ACARBOSE 50MG KF,"15,000.00",RESEP DOKTER,Obat inhibitor alfa-glukosidase yang bekerja dengan cara menghambat kerja enzim sehingga dapat membantu menurunkan kadar gula dalam darah setelah makan
ACARBOSE 50MG BOX KF,"90,000.00",RESEP DOKTER,Obat inhibitor alfa-glukosidase yang bekerja dengan cara menghambat kerja enzim sehingga dapat membantu menurunkan kadar gula dalam darah setelah makan
AMLODIPINE 10MG DEXA BOX,"65,000.00",RESEP DOKTER,Digunakan untuk mengatasi serangan angina atau angin duduk (penyakit jantung iskemia didefinisikan sebagai berkurangnya pasokan oksigen dan menurunnya alirah darah ke dalam miokardium)
AMLODIPINE 10MG DEXA,"7,000.00",RESEP DOKTER,Digunakan untuk mengatasi serangan angina atau angin duduk (penyakit jantung iskemia didefinisikan sebagai berkurangnya pasokan oksigen dan menurunnya alirah darah ke dalam miokardium)
ANACETINE PLUS ,"11,000.00",BEBAS,"Obat sirup yang digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Untuk anak usia 6-12 tahun."
ANACETINE PLUS Q,"680,000.00",BEBAS,"Obat sirup yang digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Untuk anak usia 6-12 tahun."
AMLODIPINE 5MG RAMA,"2,500.00",RESEP DOKTER,"Obat yang digunakan sebaga terapi angine stabil kronis, hipertensi, angina Prinzmetal 5 MG"
AMLODIPINE 5MG RAMA BOX,"15,000.00",RESEP DOKTER,"Obat yang digunakan sebaga terapi angine stabil kronis, hipertensi, angina Prinzmetal 5 MG BOX"
AMLODIPINE 10MG RAMA,"3,000.00",RESEP DOKTER,"Obat yang digunakan sebaga terapi angine stabil kronis, hipertensi, angina Prinzmetal 10 MG"
AMLODIPINE 10MG RAMA BOX,"17,500.00",RESEP DOKTER,"Obat yang digunakan sebaga terapi angine stabil kronis, hipertensi, angina Prinzmetal 10 MG BOX"
ALKOHOL 70% 100ML CENDRA,"6,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ALKOHOL 70% 100ML CENDRA Q,"90,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ARFLAM 50MG,"3,000.00",RESEP DOKTER,"Obat yang digunakan sebagai pereda nyeri, mengurangi gangguan inflamasi (radang), dismenore, nyeri ringan sampai sedang pasca operasi khususnya ketika pasien juga mengalami peradangan 50 MG"
